,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Color,Order Date,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
0,1,55,Male,Blouse,Clothing,53,Kentucky,Gray,1/1/2023,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly
1,2,19,Male,Sweater,Clothing,64,Maine,Maroon,1/1/2023,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly
2,3,50,Male,Jeans,Clothing,73,Massachusetts,Maroon,1/1/2023,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly
3,4,21,Male,Sandals,Footwear,90,Rhode Island,Maroon,1/1/2023,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly
4,5,45,Male,Blouse,Clothing,49,Oregon,Turquoise,1/1/2023,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually
5,6,46,Male,Sneakers,Footwear,20,Wyoming,White,1/1/2023,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly
6,7,63,Male,Shirt,Clothing,85,Montana,Gray,1/1/2023,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly
7,8,27,Male,Shorts,Clothing,34,Louisiana,Charcoal,1/1/2023,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly
8,9,26,Male,Coat,Outerwear,97,West Virginia,Silver,1/2/2023,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually
9,10,57,Male,Handbag,Accessories,31,Missouri,Pink,1/2/2023,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly
10,11,53,Male,Shoes,Footwear,34,Arkansas,Purple,1/2/2023,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly
11,12,30,Male,Shorts,Clothing,68,Hawaii,Olive,1/2/2023,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly
12,13,61,Male,Coat,Outerwear,72,Delaware,Gold,1/2/2023,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly
13,14,65,Male,Dress,Clothing,51,New Hampshire,Violet,1/2/2023,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly
14,15,64,Male,Coat,Outerwear,53,New York,Teal,1/2/2023,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly
15,16,64,Male,Skirt,Clothing,81,Rhode Island,Teal,1/2/2023,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly
16,17,25,Male,Sunglasses,Accessories,36,Alabama,Gray,1/2/2023,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly
17,18,53,Male,Dress,Clothing,38,Mississippi,Lavender,1/2/2023,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly
18,19,52,Male,Sweater,Clothing,48,Montana,Black,1/3/2023,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly
19,20,66,Male,Pants,Clothing,90,Rhode Island,Green,1/3/2023,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly
20,21,21,Male,Pants,Clothing,51,Louisiana,Black,1/3/2023,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months
21,22,31,Male,Pants,Clothing,62,North Carolina,Charcoal,1/3/2023,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly
22,23,56,Male,Pants,Clothing,37,California,Peach,1/3/2023,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually
23,24,31,Male,Pants,Clothing,88,Oklahoma,White,1/4/2023,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly
24,25,18,Male,Jacket,Outerwear,22,Florida,Green,1/4/2023,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly
25,26,18,Male,Hoodie,Clothing,25,Texas,Silver,1/4/2023,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually
26,27,38,Male,Jewelry,Accessories,20,Nevada,Red,1/4/2023,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually
27,28,56,Male,Shorts,Clothing,56,Kentucky,Cyan,1/4/2023,5,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months
28,29,54,Male,Handbag,Accessories,94,North Carolina,Gray,1/4/2023,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months
29,30,31,Male,Dress,Clothing,48,Wyoming,Black,1/4/2023,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly
30,31,57,Male,Jewelry,Accessories,31,North Carolina,Black,1/4/2023,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly
31,32,33,Male,Dress,Clothing,79,West Virginia,Brown,1/4/2023,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly
32,33,36,Male,Jacket,Outerwear,67,Kansas,Silver,1/4/2023,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually
33,34,54,Male,Pants,Clothing,38,Colorado,Green,1/4/2023,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
